axis,scope_excluded,example_cells,reason_excluded,disposition
layout_sensitivity,"vacuum + ta layouts of ALL 5 portability workloads","YC/2f_top14@vacuum, C/2e_K10@ta, ...","OpenWhisk is pinned to a single fixed orig test.db image (compare_effectiveness DB_CANON='orig'); vacuum/ta are a workstation-only storage-geometry sensitivity axis, not a deployment-portability variable. The portability matrix is 2-D (workload x strategy) at orig, NOT a (workload,layout,strategy) tensor.",separate layout axis; not a coverage gap
non_portability_workloads_AB,"workstation A (Zipfian synthetic) + B (uniform synthetic), all strategies/layouts","A/2e_K500, B/2f_top100, ...","A and B are the older synthetic workloads; they are NOT among the 5 declared OpenWhisk comparison workloads. In the cross-platform narrative they are superseded by the real-YCSB head-to-head workloads (YC/YCu/YCh01) plus the tail workloads (C/C_hit).",different workload axis; out of portability domain
non_portability_workloads_Z,"workload Z (legacy), all strategies","Z/layers_92, ...","Legacy exploratory workload; not a declared comparison workload; no OpenWhisk analogue.",legacy; out of domain
aging_self_aging_axis,"aging_v2: YD (read-latest) + YE (short-ranges) x {2e_K10_static, layers_92_static}","YD/2e_K10_static, YE/layers_92_static","Explicitly an INDEPENDENT WORKLOAD AXIS (RESULT_PROVENANCE): self-aging read-then-write workloads run via the run_experiment.py aging subcommand (read-only probe + inline t=0 hotset), not the workload x strategy first-query portability harness.",separate aging/checkpoint axis
cadence_axis,"results/cadence: prefetch cadence sensitivity","cadence sweep cells","Prefetch-cadence sensitivity study; a separate experimental axis, not a strategy in the portability matrix.",separate cadence axis
machine_memory_axis,"results/ram20m + results/ram_pressure","ram-pressure sweep cells","RAM-pressure / machine-memory sensitivity; a deployment-incompatible host-state axis (OpenWhisk warm-container memory is fixed by the runtime).",separate machine-memory axis
db_size_axis,"results/size_1gb + results/seeds_1gb (1GB DB)","1gb/2e_K10, ...","DB-size scaling axis on a 1GB database; OpenWhisk is pinned to the orig ~26331-row test.db, not the 1GB DB.",separate size-scaling axis
n_sweep_noncanonical,"nsweep_dense: layers_{1,2,3,4,6,8,12,16,24,32,46,64} on A/B/C/Z","C/layers_16, C/layers_24@orig, ...","Exploratory prefetch-DEPTH sweep. Absent from the RESULT_PROVENANCE.md canonical source table; no FINDINGS/README elevating it; n=3 async / n=1 pread (below canonical n=10/seeds 1-10). Canonical layers set = {layers_5, layers_92} only.",non-canonical exploratory sweep
k_sweep_noncanonical,"ksweep + tiebreak_fix master extras: 2e_K50, 2e_K100 on A/B/C","C/2e_K50@orig, C/2e_K100@orig","Exploratory prefetch-BUDGET sweep. Canonical 2e_K set (RP 4.2) = {2e_K10, 2e_K40, 2e_K92, 2e_K500}. K50/K100 appear only in the exploratory ksweep and are present-but-not-enumerated in the tiebreak_fix master (RP 4.2 row32 lists only C:K10,K40,K92).",non-canonical exploratory sweep
additional_topN_noncanonical,"2f_top100, 2f_top500 on C (and C_hit)","C/2f_top100, C/2f_top500","Canonical only on A/B (RP 4.8 competitive, out-of-domain workloads). On C the ONLY measurements are in the pre-tie-break-fix competitive batch, whose C rows are superseded by ablation_comp_v2 (RP 4.8); ablation_comp_v2 did not remeasure top100/top500 -> no canonical C measurement exists.",superseded / A-B-only; not canonical on C
legacy_superseded_batches,"main, ablation(v1), ablation_k500, loso, deliver_sweep, stats, unified_v2 pre-fix cells","C/2e_K10@unified_v2 (pre-fix)","Pre-tie-break-fix or first-seen legacy batches (RP 4.7 'legacy first-seen = NON-CANONICAL'); superseded by the post-fix canonical batches used above.",superseded; not canonical
