paper_location,exact_claim,metric,claimed_value,authoritative_source,source_batch,aggregation_unit,recomputed_value,status,notes
main.tex:L512;L543,"Baseline cold first-query for Scattered-Zipf/Uniform-100K/Tail-Mixed",first_query_us_median,"523 / 749 / 1087 us",results/unified_v2/matrix/summary.csv,unified_v2,single-instantiation (n=10 reps),"523.36 / 748.81 / 1086.82",PASS,"A/B/C orig baseline arm; baseline not in tie-break changed set so unified_v2 canonical"
main.tex:L512;L543,"Dump first-query reduction vs same-batch baseline",first_query_reduction_pct,"-79% / -86% / -91%",results/unified_v2/matrix/summary.csv,unified_v2,single-instantiation,"-79.3% / -85.7% / -90.7%",ROUNDING_OK,"2f_slru async fq 108.25/106.77/101.50; reductions round to claimed"
main.tex:L512,"Dump absolute first-query 102-108 us",first_query_us_median,"102 to 108 us",results/unified_v2/matrix/summary.csv,unified_v2,single-instantiation,"108.25 / 106.77 / 101.50 (async)",PASS,
main.tex:L53;L128;L859,"Dump deliver overhead for broad working sets",deliver_us_median,"0.8 to 7 ms",results/unified_v2/matrix/summary.csv,unified_v2,single-instantiation,"2f_slru 7217/7221/857 us = 0.86-7.2 ms",PASS,"Range driven by 2f_slru; Skel+500 is 0.49-0.90 ms, at/below low end"
main.tex:L128;L512,"Dump e2e regression ~order of magnitude on broad workloads",e2e_warm_reduction_pct,"~+1300% / +879% (regress); Tail-Mixed -12%",results/unified_v2/matrix/summary.csv,unified_v2,single-instantiation (async arm),"+1299.5% / +878.7% / -11.5%",PASS,"async arm is headline; pread arm not used"
main.tex:L543,"Skel+10 on Tail-Mixed largest targeted first-query reduction -83% corrected",first_query_reduction_pct,"-83% (corrected batch)",results/tiebreak_fix/master_summary.csv,tiebreak_fix,single-instantiation,"(1070.68-183.91)/1070.68 = -82.8%",PASS,"C/orig 2e_K10 async fq 183.91 vs same-batch baseline 1070.68; recomputed this pass"
main.tex:L589-601(tab:corrected-arms),"Tail-Mixed Skel+10 warm e2e 1071->265 -75%",e2e_warm_reduction_pct,"-75%",results/tiebreak_fix/master_summary.csv,tiebreak_fix,single-instantiation,"(1070.68-265.44)/1070.68 = -75.2%",PASS,"same-batch baseline; not mixed across batches"
main.tex:L723;L870,"Skel warm e2e -25 to -30% across pure-hit workloads",e2e_warm_reduction_pct,"-25% / -25% / -28.5%",results/stats/uncertainty.csv + results/c_hit/uncertainty.csv,stats(2d unaffected)+c_hit,10-seed bootstrap 95% CI,"A -25.0%, B -25.0% (2d unaffected -> stats canonical), Tail-Hit 2d -28.5% [-34.9,-19.6]",PASS,"2d tie-break-unaffected per RESULT_PROVENANCE 4.8; C_hit from c_hit batch"
main.tex:L53;L723;L870,"Adding hot leaves raises Scattered-Zipf from -25% to -36%",e2e_warm_reduction_pct,"-36% (Skel+10 on A)",results/tiebreak_fix/uncertainty.csv,tiebreak_fix(corrected),10-seed bootstrap,"pre-fix stats -36.0%; corrected tiebreak_fix -37.9% [-52.1,-25.0]",NEEDS_QUALIFICATION,"cited -36% is the pre-fix seeds value; corrected canonical is -37.9%~-38%; statistically identical and admissible per 4.8 (A/2e_K10 tie-break-unaffected); consider citing -38%"
main.tex:L723,"Tail-Mixed Skel+10 cross-seed mean -55% bimodal",e2e_warm_reduction_pct,"-55% [-67,-43] bimodal",results/ablation_comp_v2/uncertainty.csv,ablation_comp_v2(corrected),10-seed bootstrap,"-54.5% [-66.6,-42.2]; not-found cluster ~-70%, hit cluster ~-30%",PASS,"correctly uses corrected batch, not leaky stats -70.5%"
main.tex:L692,"Learned-Markov LOSO cold first-query reductions",first_query_reduction_pct,"-39.6% / -36.6% / -65.4%",results/learned_10fold/summary.csv,learned_10fold,10-fold LOSO t-CI df=9,"-39.6+-3.6 / -36.6+-9.8 / -65.4+-13.3; all CIs exclude 0",PASS,"LOSO no-leak verified (loso/coverage.csv first_op_covered=0); 100% delivery"
main.tex:L692,"Learned-Markov worse on Scattered-Zipf (-40% vs -51% for freq/hot-leaf arms)",comparative_ordering,"worse on Scattered-Zipf",results/learned_10fold/summary.csv,learned_10fold,10-fold CIs,"point -39.6 vs -50.6/-50.8 but 95% CIs OVERLAP (learned [-43.2,-36.0] vs 2f_top28 [-65.5,-35.7])",NEEDS_QUALIFICATION,"By the paper's own overlapping-CI rule (used to call B/C ties) A is a statistical TIE not 'worse'; batch FINDINGS.md #2 shares the overstatement; TODO in tex"
main.tex:L690,"libprefetch shuffled 10-16x slower; async ratio ~1.0",deliver_us_ratio,"15.6x/15.1x/10.5x (shuf vs sorted)",results/baselines_v2/summary.csv,baselines_v2,test seed 1,"confirmed prior window: lp compared by delivery order via pread; excluded from first_query rho",PASS,"LP main metric is deliver_us order (pread_ordered), NOT first_query rho; normal strategies use madvise/WILLNEED"
main.tex:L500-506;L753-762,"OpenWhisk accounting: 7 campaigns 5756 invocations 2878 pairs without pooling",invocation_pair_accounting,"5756 inv / 2878 pairs / 7 campaigns / pooled=false",deployment/openwhisk normalization manifests,"5 additive + outlier_replication + ych01_followup",two-role split NEVER pooled,"5376/2688 + 236/118 + 144/72 = 5756/2878; pooled=false asserted in >=5 files",PASS,"reconciles exactly: primary 1600/800 + secondary 2000/1000 + portability 468/234 + portability_ext 852/426 + full_closure 456/228 + outlier_repl 236/118 + ych01_followup 144/72"
main.tex:L494;L756;L858,"OpenWhisk estimator described as 'warm paired first-query'",handle_mode,"warm paired first-query",compare_effectiveness.py:324;build_revised_freeze.py:149;lp_delivery_order.py:59,revised freeze,standalone handles only,"estimator filters handle_mode != 'standalone' -> continue; docstring: warm handles unusable (positional/order effect)",WRONG_SOURCE,"PATCHED: 'warm'->'standalone'. Pair SCHEDULING (block-union) is orthogonal to handle_mode; 'paired' correct, 'warm' wrong"
main.tex:L778;L798(tab);L858,"Cross-platform Spearman rho and direction agreement",spearman_rho;direction_agree,"rho 0.76/0.79/0.81; direction 46/55; |dR|~0.11",deployment/openwhisk/analysis/.../effectiveness_revised_stats.json,revised freeze (55 first-query cells),per-cell rank over 55-cell domain,"rho_all 0.7611 / high-conf 0.7851 / clean 0.8103; 46/55; median|dR| 0.1122",PASS,"per-workload table matches: Zipf 0.77 9/10, Uniform 0.87 7/10, Hashed 0.82 8/10, Tail-Mixed 0.70 11/14, Tail-Hit 0.25 11/11"
main.tex:L128;L779;L858;L870,"Strong-WS strategies all effective on OW: 41 of 41 first-query cells",effective_count,"41 of 41",effectiveness_revised_stats.json,revised freeze,strong-WS (R_ws>=0.30) domain,"n_strong_ws=41, effective 41/41",PASS,"65 = COVERAGE (55 first-query + 10 LP); rho/direction/41-of-41 over 55 first-query domain only"
main.tex:L814;L858,"Sole OW-harmful cell Skel-5 on Hashed-Hotspot",R_ws;R_ow,"R_ws~+0.03 -> R_ow~-0.60",effectiveness_ow_vs_workstation_revised_freeze.csv,revised freeze (7th campaign ych01_followup),per-cell R,"R_ws 0.0252 -> R_ow -0.5961; WS-neutral so not a broken WS-effective strategy",PASS,"4 position-sensitive cells (YCu/layers_5, YCh01/2f_top14, C/2d, C/layers_92)"
main.tex:L483-485,"OpenWhisk runs on the same bare-metal host; no hardware/kernel changes; isolates the container-runtime dimension",hardware_equivalence,"same bare-metal host / isolates runtime dimension",OW campaign env captures + WS2_RUNBOOK.md:3-9 + README.md:6,8 OW campaigns record host ian-comp,mechanical host/kernel comparison,"OW host=ian-comp (Ryzen 7 7700, kernel 7.0.0-28, 30 GiB) != workstation (Ryzen 9950X, kernel 6.17.0-19); two-machine WS1/WS2 design documented",UNSUPPORTED,"PATCHED: claim is FALSE. Kernel differs on both captured sides; WS avail RAM exceeds OW total. Test varies runtime AND host; cannot isolate runtime dimension. Only relative R compared (absolute us never compared cross-platform)"
main.tex:L758-759,"This validation shares the workstation's x86 and NVMe hardware, so it isolates the container-runtime dimension",hardware_equivalence,"shares x86 and NVMe hardware / isolates runtime",same as L483-485,OW=ian-comp,mechanical,"different CPU model + kernel; shares only the x86 ISA family and NVMe device class, not the same machine",UNSUPPORTED,"PATCHED to bounded wording"
main.tex:L858,"This FaaS-runtime validation shares the same x86 and NVMe hardware, so it isolates the container-based runtime dimension",hardware_equivalence,"shares same x86 and NVMe hardware / isolates runtime",same as L483-485,OW=ian-comp,mechanical,"same as above",UNSUPPORTED,"PATCHED to bounded wording"
main.tex:L128,"Headline results not artifacts of ... a particular hardware configuration",hardware_generality,"not artifacts of a particular hardware configuration",N/A (single WS + one OW host),primary + OW,N/A,"single workstation absolute results; OW is a second consumer x86 desktop, not a systematic hardware sweep",NEEDS_QUALIFICATION,"PATCHED: dropped hardware-configuration clause; hardware generality not established, left as future work (L819/L858)"
main.tex:L860,"Session-to-session absolute drift ~10-15%, attributable to SSD internal state and CPU thermal conditions",drift_pct;cause,"10% to 15%; SSD internal state + CPU thermal",REPORT.md:1312 + CANONICAL_SWAP.md:9,anchor batches,Dump anchor fast path,"CANONICAL_SWAP: additive CPU-path offset ~15% on ~100us anchor; REPORT.md:1312 attributes SSD internal SLC/wear + CPU boost/thermal + background load; general cross-session cell drift 30-70%",NEEDS_QUALIFICATION,"CAUSE IS SUPPORTED (not a causal overclaim). 10-15% is the Dump-anchor fast-path figure; general cell drift can reach 30-70% (larger % on fast paths since offset is additive). TODO note added; substance not changed"
main.tex:L447,"Workstation platform: Ryzen 9950X, 64 GB (62 GiB avail), Kingston SKC3000D2048G 2TB NVMe Gen4x4, Linux 6.17, read_ahead_kb=128",platform_spec,"as stated",repo setup docs,primary,N/A,"matches setup section; consistent with primary evaluation",PASS,"NVMe device model not captured in an env dump but asserted consistently"
