workload,strategy,layout,canonical_source,seed_protocol,plan_kind,in_openwhisk,ow_coverage,portability_class,rp_cite
YC,2d,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",structural (workload-invariant sel.),static,True,BOTH,covered,later-additive head-to-head
YC,2e_K10,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YC,2e_K500,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YC,2f_slru,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (SLRU anchor),keyed,True,BOTH,covered,later-additive head-to-head
YC,2f_top14,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YC,2f_top28,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YC,layers_5,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",structural skeleton,static,True,BOTH,covered,later-additive head-to-head
YC,layers_92,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",structural skeleton,static,True,BOTH,covered,later-additive head-to-head
YC,learned_markov_14,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",LOSO 1-10 (train/test fold),keyed,True,BOTH,covered,later-additive head-to-head
YC,learned_markov_28,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",LOSO 1-10 (train/test fold),keyed,True,BOTH,covered,later-additive head-to-head
YC,lp_shuf,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (libprefetch trace),keyed,True,BOTH,covered,later-additive head-to-head
YC,lp_sorted,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (libprefetch trace),keyed,True,BOTH,covered,later-additive head-to-head
YCu,2d,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",structural (workload-invariant sel.),static,True,BOTH,covered,later-additive head-to-head
YCu,2e_K10,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YCu,2e_K500,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YCu,2f_slru,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (SLRU anchor),keyed,True,BOTH,covered,later-additive head-to-head
YCu,2f_top14,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YCu,2f_top28,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YCu,layers_5,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",structural skeleton,static,True,BOTH,covered,later-additive head-to-head
YCu,layers_92,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",structural skeleton,static,True,BOTH,covered,later-additive head-to-head
YCu,learned_markov_14,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",LOSO 1-10 (train/test fold),keyed,True,BOTH,covered,later-additive head-to-head
YCu,learned_markov_28,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",LOSO 1-10 (train/test fold),keyed,True,BOTH,covered,later-additive head-to-head
YCu,lp_shuf,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (libprefetch trace),keyed,True,BOTH,covered,later-additive head-to-head
YCu,lp_sorted,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (libprefetch trace),keyed,True,BOTH,covered,later-additive head-to-head
YCh01,2d,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",structural (workload-invariant sel.),static,True,BOTH,covered,later-additive head-to-head
YCh01,2e_K10,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YCh01,2e_K500,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YCh01,2f_slru,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (SLRU anchor),keyed,True,BOTH,covered,later-additive head-to-head
YCh01,2f_top14,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YCh01,2f_top28,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (keyed plan seed),keyed,True,BOTH,covered,later-additive head-to-head
YCh01,layers_5,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",structural skeleton,static,True,BOTH,covered,later-additive head-to-head
YCh01,layers_92,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",structural skeleton,static,True,BOTH,covered,later-additive head-to-head
YCh01,learned_markov_14,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",LOSO 1-10 (train/test fold),keyed,True,BOTH,covered,later-additive head-to-head
YCh01,learned_markov_28,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",LOSO 1-10 (train/test fold),keyed,True,BOTH,covered,later-additive head-to-head
YCh01,lp_shuf,orig,"native_headtohead{,_YCu,_YCh01} summary.csv (per-seed, orig)",seeds 1-10 (libprefetch trace),keyed,True,BOTH,covered,later-additive head-to-head
